"","Variable","mean.RMSE","orig.RMSE","K.or.D"
"373","HasBeenRemodeled","0.118224","0.118084","DROP"
"374","RemodelAndSold","0.118495","0.118084","DROP"
"375","FirstFloorOnly","0.118051","0.118084","KEEP"
"376","GrLivAreaCut","0.11868","0.118051","DROP"
"377","outdoorSpace","0.117483","0.118051","KEEP"
"378","NearCampus","0.116596","0.117483","KEEP"
"379","SouthOf30","0.116372","0.116596","KEEP"
"380","NearAirport","0.11473","0.116372","KEEP"
"381","NearWater","0.114742","0.11473","DROP"
"382","meanOverallNbrhdQ","0.114084","0.11473","KEEP"
"383","meanOverallNbrhdC","0.114382","0.114084","DROP"
"384","CrimeLevel","0.113948","0.114084","KEEP"
"385","countEx","0.113551","0.113948","KEEP"
"386","countGd","0.113646","0.113551","DROP"
"387","countTA","0.113942","0.113551","DROP"
"388","countFa","0.113942","0.113551","DROP"
"389","countPo","0.11388","0.113551","DROP"
"390","x595","0.113618","0.113551","DROP"
"391","x602","0.113894","0.113551","DROP"
"392","x606","0.113731","0.113551","DROP"
"393","x607","0.113789","0.113551","DROP"
"394","x608","0.113358","0.113551","KEEP"
"395","x610","0.113619","0.113358","DROP"
"396","x611","0.11327","0.113358","KEEP"
"397","x612","0.113718","0.11327","DROP"
"398","x613","0.113747","0.11327","DROP"
"399","x616","0.113304","0.11327","DROP"
"400","x624","0.112818","0.11327","KEEP"
"401","x632","0.112928","0.112818","DROP"
"402","x633","0.112839","0.112818","DROP"
"403","x635","0.113044","0.112818","DROP"
"404","x645","0.11278","0.112818","KEEP"
"405","x647","0.112568","0.11278","KEEP"
"406","x648","0.112668","0.112568","DROP"
"407","x926","0.112409","0.112568","KEEP"
"408","x939","0.112833","0.112409","DROP"
"409","x943","0.112692","0.112409","DROP"
"410","x958","0.112635","0.112409","DROP"
"411","x959","0.112947","0.112409","DROP"
"412","x960","0.112718","0.112409","DROP"
"413","x962","0.112757","0.112409","DROP"
"414","x965","0.112319","0.112409","KEEP"
"415","x966","0.112702","0.112319","DROP"
"416","x968","0.112803","0.112319","DROP"
"417","x1417","0.111898","0.112319","KEEP"
"418","x1421","0.111586","0.111898","KEEP"
"419","x1424","0.111268","0.111586","KEEP"
"420","x1447","0.111096","0.111268","KEEP"
"421","x1455","0.111652","0.111096","DROP"
"422","x1683","0.111399","0.111096","DROP"
"423","x1686","0.111313","0.111096","DROP"
"424","x1689","0.111634","0.111096","DROP"
"425","x1701","0.111808","0.111096","DROP"
"426","x1723","0.111194","0.111096","DROP"
"427","x2441","0.111244","0.111096","DROP"
"428","x2448","0.111473","0.111096","DROP"
"429","x2458","0.111583","0.111096","DROP"
"430","x2490","0.111103","0.111096","DROP"
"431","x2512","0.111284","0.111096","DROP"
"432","x2524","0.111284","0.111096","DROP"
"433","x2529","0.111804","0.111096","DROP"
"434","x2530","0.111356","0.111096","DROP"
"435","x2537","0.111475","0.111096","DROP"
"436","x2812","0.111435","0.111096","DROP"
"437","x2814","0.1116","0.111096","DROP"
"438","x2816","0.111524","0.111096","DROP"
"439","x2828","0.111528","0.111096","DROP"
"440","x2830","0.111098","0.111096","DROP"
"441","x2849","0.112038","0.111096","DROP"
"442","x2858","0.111643","0.111096","DROP"
"443","x3332986","0.111589","0.111096","DROP"
