,Variable,mean.RMSE,orig.RMSE,K.or.D
2831,x1139,0.150415,0.149486,DROP
2830,x114,0.149958,0.149486,DROP
2829,x1140,0.150387,0.149486,DROP
2828,x1141,0.150424,0.149486,DROP
2827,x1142,0.150475,0.149486,DROP
2826,x1143,0.149966,0.149486,DROP
2825,x1144,0.150678,0.149486,DROP
2824,x1145,0.150541,0.149486,DROP
2823,x1146,0.149568,0.149486,DROP
2822,x1147,0.150522,0.149486,DROP
2821,x1148,0.1516,0.149486,DROP
2820,x1149,0.150738,0.149486,DROP
2819,x115,0.150083,0.149486,DROP
2818,x1150,0.149603,0.149486,DROP
2817,x1151,0.150745,0.149486,DROP
2816,x1152,0.150675,0.149486,DROP
2815,x1153,0.150264,0.149486,DROP
2814,x1154,0.150909,0.149486,DROP
2813,x1155,0.151248,0.149486,DROP
2812,x1156,0.150181,0.149486,DROP
2811,x1157,0.151724,0.149486,DROP
512,x538,0.166595,0.166678,KEEP
2809,x1159,0.150679,0.149524,DROP
2808,x116,0.149925,0.149524,DROP
2807,x1160,0.150139,0.149524,DROP
2806,x1161,0.150193,0.149524,DROP
2805,x1162,0.150555,0.149524,DROP
2804,x1163,0.150596,0.149524,DROP
2803,x1164,0.150737,0.149524,DROP
2802,x1165,0.149932,0.149524,DROP
2801,x1166,0.150051,0.149524,DROP
2800,x1167,0.150588,0.149524,DROP
2799,x1168,0.149941,0.149524,DROP
2798,x1169,0.150269,0.149524,DROP
2797,x117,0.149865,0.149524,DROP
2796,x1170,0.15082,0.149524,DROP
2795,x1171,0.150581,0.149524,DROP
2794,x1172,0.150138,0.149524,DROP
2793,x1173,0.150575,0.149524,DROP
2792,x1174,0.150423,0.149524,DROP
2791,x1175,0.150189,0.149524,DROP
2790,x1176,0.150909,0.149524,DROP
2789,x1177,0.150071,0.149524,DROP
2788,x1178,0.14986,0.149524,DROP
2787,x1179,0.150229,0.149524,DROP
2786,x118,0.150035,0.149524,DROP
2785,x1180,0.149607,0.149524,DROP
2784,x1181,0.150698,0.149524,DROP
2783,x1182,0.150921,0.149524,DROP
2782,x1183,0.150313,0.149524,DROP
2781,x1184,0.150188,0.149524,DROP
2780,x1185,0.150179,0.149524,DROP
2779,x1186,0.150369,0.149524,DROP
362,x674,0.174583,0.179622,KEEP
2777,x1188,0.150691,0.149796,DROP
2776,x1189,0.151045,0.149796,DROP
2775,x119,0.150855,0.149796,DROP
2774,x1190,0.151595,0.149796,DROP
2773,x1191,0.150775,0.149796,DROP
2772,x1192,0.151123,0.149796,DROP
2771,x1193,0.150256,0.149796,DROP
2770,x1194,0.149915,0.149796,DROP
2769,x1195,0.151016,0.149796,DROP
2768,x1196,0.150039,0.149796,DROP
2767,x1197,0.150809,0.149796,DROP
2766,x1198,0.151195,0.149796,DROP
2765,x1199,0.151227,0.149796,DROP
2764,x12,0.151166,0.149796,DROP
2763,x120,0.150495,0.149796,DROP
2762,x1200,0.150677,0.149796,DROP
2761,x1201,0.151168,0.149796,DROP
2760,x1202,0.150652,0.149796,DROP
2759,x1203,0.150156,0.149796,DROP
2758,x1204,0.150745,0.149796,DROP
2757,x1205,0.151121,0.149796,DROP
2756,x1206,0.15088,0.149796,DROP
2755,x1207,0.150427,0.149796,DROP
2754,x1208,0.150168,0.149796,DROP
2753,x1209,0.150442,0.149796,DROP
2752,x121,0.150578,0.149796,DROP
2751,x1210,0.150283,0.149796,DROP
2750,x1211,0.150556,0.149796,DROP
2749,x1212,0.150432,0.149796,DROP
2748,x1213,0.151057,0.149796,DROP
2747,x1214,0.15103,0.149796,DROP
2746,x1215,0.149932,0.149796,DROP
2745,x1216,0.150335,0.149796,DROP
2744,x1217,0.150502,0.149796,DROP
2743,x1218,0.15023,0.149796,DROP
2742,x1219,0.150555,0.149796,DROP
2741,x122,0.150723,0.149796,DROP
2740,x1220,0.150856,0.149796,DROP
2739,x1221,0.150805,0.149796,DROP
2738,x1222,0.15136,0.149796,DROP
2737,x1223,0.150266,0.149796,DROP
2736,x1224,0.150922,0.149796,DROP
2735,x1225,0.150268,0.149796,DROP
2734,x1226,0.151045,0.149796,DROP
2733,x1227,0.150908,0.149796,DROP
2732,x1228,0.150556,0.149796,DROP
2731,x1229,0.151059,0.149796,DROP
2730,x123,0.151137,0.149796,DROP
2729,x1230,0.151454,0.149796,DROP
2728,x1231,0.150456,0.149796,DROP
2727,x1232,0.150836,0.149796,DROP
2726,x1233,0.151167,0.149796,DROP
2725,x1234,0.151259,0.149796,DROP
2724,x1235,0.150485,0.149796,DROP
2723,x1236,0.151135,0.149796,DROP
2722,x1237,0.151511,0.149796,DROP
2721,x1238,0.151214,0.149796,DROP
2720,x1239,0.150586,0.149796,DROP
2719,x124,0.150394,0.149796,DROP
2718,x1240,0.150985,0.149796,DROP
2717,x1241,0.15063,0.149796,DROP
2716,x1242,0.15123,0.149796,DROP
2715,x1243,0.150532,0.149796,DROP
2714,x1244,0.150888,0.149796,DROP
2713,x1245,0.150518,0.149796,DROP
2712,x1246,0.150975,0.149796,DROP
2711,x1247,0.15014,0.149796,DROP
2710,x1248,0.149979,0.149796,DROP
2709,x1249,0.150562,0.149796,DROP
2708,x125,0.150774,0.149796,DROP
2707,x1250,0.15054,0.149796,DROP
2706,x1251,0.151191,0.149796,DROP
2705,x1252,0.151119,0.149796,DROP
2704,x1253,0.149939,0.149796,DROP
2703,x1254,0.151469,0.149796,DROP
2702,x1255,0.151012,0.149796,DROP
2701,x1256,0.149992,0.149796,DROP
2700,x1257,0.150978,0.149796,DROP
2699,x1258,0.150863,0.149796,DROP
2698,x1259,0.151026,0.149796,DROP
2697,x126,0.150542,0.149796,DROP
2696,x1260,0.150695,0.149796,DROP
2695,x1261,0.150452,0.149796,DROP
2694,x1262,0.15055,0.149796,DROP
2693,x1263,0.151186,0.149796,DROP
2692,x1264,0.151149,0.149796,DROP
2691,x1265,0.15036,0.149796,DROP
350,x685,0.181287,0.182527,KEEP
2689,x1267,0.150749,0.149887,DROP
2688,x1268,0.15065,0.149887,DROP
2687,x1269,0.150253,0.149887,DROP
2686,x127,0.150636,0.149887,DROP
2685,x1270,0.150494,0.149887,DROP
2684,x1271,0.150618,0.149887,DROP
2683,x1272,0.150173,0.149887,DROP
2682,x1273,0.150284,0.149887,DROP
2681,x1274,0.150902,0.149887,DROP
2680,x1275,0.150878,0.149887,DROP
2679,x1276,0.151004,0.149887,DROP
2678,x1277,0.150218,0.149887,DROP
2677,x1278,0.150345,0.149887,DROP
2676,x1279,0.150841,0.149887,DROP
2675,x128,0.150945,0.149887,DROP
2674,x1280,0.150921,0.149887,DROP
2673,x1281,0.150827,0.149887,DROP
2672,x1282,0.151245,0.149887,DROP
2671,x1283,0.150601,0.149887,DROP
2670,x1284,0.15043,0.149887,DROP
2669,x1285,0.15041,0.149887,DROP
2668,x1286,0.150195,0.149887,DROP
2667,x1287,0.150804,0.149887,DROP
2666,x1288,0.150371,0.149887,DROP
2665,x1289,0.150139,0.149887,DROP
2664,x129,0.151374,0.149887,DROP
2663,x1290,0.151022,0.149887,DROP
2662,x1291,0.150513,0.149887,DROP
2661,x1292,0.15082,0.149887,DROP
2660,x1293,0.150729,0.149887,DROP
2659,x1294,0.150266,0.149887,DROP
2658,x1295,0.151145,0.149887,DROP
2657,x1296,0.15012,0.149887,DROP
2656,x1297,0.150622,0.149887,DROP
2655,x1298,0.150886,0.149887,DROP
2654,x1299,0.150274,0.149887,DROP
2653,x13,0.150602,0.149887,DROP
2652,x130,0.150858,0.149887,DROP
2651,x1300,0.150157,0.149887,DROP
2650,x1301,0.150405,0.149887,DROP
2649,x1302,0.150305,0.149887,DROP
2648,x1303,0.150228,0.149887,DROP
2647,x1304,0.150846,0.149887,DROP
2646,x1305,0.150734,0.149887,DROP
2645,x1306,0.149941,0.149887,DROP
2644,x1307,0.150525,0.149887,DROP
2643,x1308,0.150404,0.149887,DROP
2642,x1309,0.150443,0.149887,DROP
2641,x131,0.15009,0.149887,DROP
2640,x1310,0.150763,0.149887,DROP
2639,x1311,0.150248,0.149887,DROP
2638,x1312,0.149953,0.149887,DROP
2637,x1313,0.151106,0.149887,DROP
2636,x1314,0.15047,0.149887,DROP
2635,x1315,0.150218,0.149887,DROP
2634,x1316,0.150493,0.149887,DROP
2633,x1317,0.15072,0.149887,DROP
2632,x1318,0.150599,0.149887,DROP
2631,x1319,0.150624,0.149887,DROP
2630,x132,0.151009,0.149887,DROP
2629,x1320,0.151354,0.149887,DROP
2628,x1321,0.150724,0.149887,DROP
2627,x1322,0.150018,0.149887,DROP
2626,x1323,0.150523,0.149887,DROP
2625,x1324,0.150275,0.149887,DROP
2624,x1325,0.150253,0.149887,DROP
2623,x1326,0.151528,0.149887,DROP
2622,x1327,0.150931,0.149887,DROP
2621,x1328,0.150523,0.149887,DROP
2620,x1329,0.150654,0.149887,DROP
2619,x133,0.150656,0.149887,DROP
2618,x1330,0.150685,0.149887,DROP
2617,x1331,0.150485,0.149887,DROP
2616,x1332,0.150091,0.149887,DROP
2615,x1333,0.150421,0.149887,DROP
2614,x1334,0.151075,0.149887,DROP
2613,x1335,0.150462,0.149887,DROP
2612,x1336,0.151525,0.149887,DROP
2611,x1337,0.151389,0.149887,DROP
2610,x1338,0.150146,0.149887,DROP
2609,x1339,0.150606,0.149887,DROP
2608,x134,0.151006,0.149887,DROP
2607,x1340,0.150755,0.149887,DROP
2606,x1341,0.150652,0.149887,DROP
2605,x1342,0.150981,0.149887,DROP
2604,x1343,0.15059,0.149887,DROP
2603,x1344,0.150161,0.149887,DROP
2602,x1345,0.150423,0.149887,DROP
2601,x1346,0.150902,0.149887,DROP
2600,x1347,0.149895,0.149887,DROP
2599,x1348,0.150477,0.149887,DROP
2598,x1349,0.150769,0.149887,DROP
2597,x135,0.151047,0.149887,DROP
2596,x1350,0.150503,0.149887,DROP
2595,x1351,0.150797,0.149887,DROP
2594,x1352,0.151254,0.149887,DROP
